cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate,rank_v08,rank_v10,in_old_topN,in_v10_topN,co_derived_fp_candidate,hazard_rank_true_v08,old_vs_osm_completeness,reviewed_vs_osm_completeness,coverage_gain_vs_osm,old_building_density,v10_building_density,delta_building_density,delta_building_area_m2,possible_old_dsm_gap_false_positive,audit_flags,independent_old_dsm_gap_candidate,co_derived_criteria_recomputed,transition_class
TP_0088,0.7471534438014392,1.0,0.7540806862473973,1.0,0.0,False,1.0,1.0,True,True,False,1,,,,0.0,0.0,0.0,0.0,False,old_top20_hazard,False,False,old_top_nonfp_retained_top
TP_0610,0.731807059007626,3.0,0.7430527677609041,2.0,1.0,False,3.0,2.0,True,True,False,3,,,,0.0,0.1115999999993686,0.1115999999993686,1116.0,False,old_top20_hazard;large_building_density_gain,False,False,old_top_nonfp_retained_top
TP_0460,0.7168590116224683,11.0,0.7397577589624206,3.0,8.0,False,11.0,3.0,True,True,False,11,,,,0.0,0.0,0.0,0.0,False,old_top20_hazard,False,False,old_top_nonfp_retained_top
TP_0059,0.730192107045208,4.0,0.7381973430429909,4.0,0.0,False,4.0,4.0,True,True,False,4,,,,0.0,0.0,0.0,0.0,False,old_top20_hazard,False,False,old_top_nonfp_retained_top
TP_0575,0.7113938494899958,20.0,0.7362715334723939,5.0,15.0,False,20.0,5.0,True,True,False,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,old_top20_hazard;zero_old_completeness,True,False,old_top_nonfp_retained_top
TP_0565,0.7156407219594539,13.0,0.7271600160094414,9.0,4.0,True,13.0,9.0,True,True,True,13,0.0,1.0002787866202194,1.0002787866202194,0.0,0.3320000000035268,0.3320000000035268,3320.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_retained_top
TP_0564,0.7211238662880441,7.0,0.722061452970123,15.0,-8.0,True,7.0,15.0,True,True,True,7,0.0,0.99761506016097,0.99761506016097,0.0,0.3247999999995982,0.3247999999995982,3248.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_retained_top
TP_0089,0.7237155569558886,6.0,0.7207604106011732,16.0,-10.0,False,6.0,16.0,True,True,False,6,0.0,1.0064276872546032,1.0064276872546032,0.0,0.035199999999877,0.035199999999877,352.0,False,old_top20_hazard;zero_old_completeness;high_coverage_gain,True,False,old_top_nonfp_retained_top
TP_0003,0.7145702205039032,16.0,0.7197039341344056,18.0,-2.0,False,16.0,18.0,True,True,False,16,0.3586194543433075,0.9944695506966896,0.6358500963533822,0.056399999999766,0.1563999999993513,0.0999999999995852,1000.0,False,old_top20_hazard;high_coverage_gain,False,False,old_top_nonfp_retained_top
TP_0986,0.7183850444334857,10.0,0.7181390916669094,19.0,-9.0,True,10.0,19.0,True,True,True,10,0.0,0.999823100313238,0.999823100313238,0.0,0.4276000000050945,0.4276000000050945,4276.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_retained_top
TP_0171,0.7042330656991791,26.0,0.7315705557117919,6.0,20.0,False,26.0,6.0,False,True,False,26,,,,0.0,0.0,0.0,0.0,False,old_top50_hazard,False,False,entering_v10_top_nonfp
TP_0344,0.6604017180542141,95.0,0.7312525891547828,7.0,88.0,False,95.0,7.0,False,True,False,95,0.0,0.9999242983415376,0.9999242983415376,0.0,0.446400000000877,0.446400000000877,4464.0,False,zero_old_completeness;high_coverage_gain;large_building_density_gain,False,False,entering_v10_top_nonfp
TP_0373,0.6729407610450938,73.0,0.7281587064427889,8.0,65.0,False,73.0,8.0,False,True,False,73,0.0,0.9763959803609196,0.9763959803609196,0.0,0.3683999999995175,0.3683999999995175,3684.0,False,zero_old_completeness;high_coverage_gain;large_building_density_gain,False,False,entering_v10_top_nonfp
TP_0766,0.697917230041795,38.0,0.7255016667367133,10.0,28.0,False,38.0,10.0,False,True,False,38,1.2438397542322426,1.2589532384877984,0.0151134842555558,0.3291999999988383,0.3331999999988242,0.0039999999999859,40.0,False,old_top50_hazard,False,False,entering_v10_top_nonfp
TP_0973,0.68306565392321,58.0,0.7253557600956044,11.0,47.0,False,58.0,11.0,False,True,False,58,0.0,3.9509603339391264,3.9509603339391264,0.0,0.6520000000000356,0.6520000000000356,6520.0,False,zero_old_completeness;high_coverage_gain;large_building_density_gain,False,False,entering_v10_top_nonfp
TP_0572,0.7024892878445922,28.0,0.7235961628168085,12.0,16.0,False,28.0,12.0,False,True,False,28,,,,0.0,0.0180000000001584,0.0180000000001584,180.0,False,old_top50_hazard,False,False,entering_v10_top_nonfp
TP_0120,0.698931484135732,34.0,0.7232450398772873,13.0,21.0,False,34.0,13.0,False,True,False,34,1.1177066639582258,1.1177066639582258,0.0,0.1492000000003474,0.1492000000003474,0.0,0.0,False,old_top50_hazard,False,False,entering_v10_top_nonfp
TP_0315,0.7092979724405435,22.0,0.7228146165944079,14.0,8.0,True,22.0,14.0,False,True,True,22,0.0,1.0005146080662992,1.0005146080662992,0.0,0.2816000000014393,0.2816000000014393,2816.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,entering_v10_top_fp_candidate
TP_0888,0.6796474224364323,64.0,0.7206788813076622,17.0,47.0,False,64.0,17.0,False,True,False,64,0.0,0.6559232044144062,0.6559232044144062,0.0,0.3343999999952007,0.3343999999952007,3344.0,False,zero_old_completeness;high_coverage_gain;large_building_density_gain,False,False,entering_v10_top_nonfp
TP_0916,0.6775101586012527,65.0,0.7153381252665418,20.0,45.0,False,65.0,20.0,False,True,False,65,,,,0.0,0.2684000000017722,0.2684000000017722,2684.0,False,large_building_density_gain,False,False,entering_v10_top_nonfp
TP_0116,0.7331545729845858,2.0,0.7135363447598606,23.0,-21.0,True,2.0,23.0,True,False,True,2,0.0,0.9957084167654602,0.9957084167654602,0.0,0.1756000000015459,0.1756000000015459,1756.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0060,0.729530918584117,5.0,0.7047495648640012,32.0,-27.0,False,5.0,32.0,True,False,False,5,0.0,1.0208646730065354,1.0208646730065354,0.0,0.0028000000000005,0.0028000000000005,28.0,False,old_top20_hazard;zero_old_completeness;high_coverage_gain,True,False,old_top_nonfp_left_top
TP_0985,0.7204764652845331,9.0,0.7011120066133673,35.0,-26.0,True,9.0,35.0,True,False,True,9,0.0,1.0000117213819064,1.0000117213819064,0.0,0.4247999999970946,0.4247999999970946,4248.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0984,0.7162028418269001,12.0,0.6939741094522868,40.0,-28.0,True,12.0,40.0,True,False,True,12,0.0,0.9981397882394436,0.9981397882394436,0.0,0.4048000000009793,0.4048000000009793,4048.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0027,0.7153817467720393,15.0,0.6869573012744764,50.0,-35.0,True,15.0,50.0,True,False,True,15,0.0,1.0000828508038695,1.0000828508038695,0.0,0.4104000000057183,0.4104000000057183,4104.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0849,0.7208228685872438,8.0,0.680415625584943,66.0,-58.0,True,8.0,66.0,True,False,True,8,0.0,0.9947210999790784,0.9947210999790784,0.0,0.2696000000021969,0.2696000000021969,2696.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0638,0.715620184359219,14.0,0.6778337451905151,70.0,-56.0,True,14.0,70.0,True,False,True,14,0.0,1.0006332368465898,1.0006332368465898,0.0,0.3179999999993406,0.3179999999993406,3180.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0923,0.7132669931111668,17.0,0.6701012741397581,89.0,-72.0,True,17.0,89.0,True,False,True,17,0.0,0.9972161939277326,0.9972161939277326,0.0,0.2632000000009288,0.2632000000009288,2632.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0820,0.7126581961056525,19.0,0.6557376727327601,97.0,-78.0,True,19.0,97.0,True,False,True,19,0.0,1.017694522445486,1.017694522445486,0.0,0.434800000005647,0.434800000005647,4348.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0876,0.7129364355248445,18.0,0.6284489329629591,143.0,-125.0,True,18.0,143.0,True,False,True,18,0.0,0.9971336564387332,0.9971336564387332,0.0,0.3416000000034299,0.3416000000034299,3416.0,True,old_top20_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,old_top_fp_left_top
TP_0366,0.6966924134389568,40.0,0.7125360898339931,25.0,15.0,False,40.0,25.0,False,False,False,40,0.0,1.0000391555387982,1.0000391555387982,0.0,0.0483999999995668,0.0483999999995668,484.0,False,old_top50_hazard;zero_old_completeness;high_coverage_gain,True,False,other
TP_0527,0.6945770504848768,42.0,0.7071938377996078,29.0,13.0,True,42.0,29.0,False,False,True,42,0.0,0.8338535769736147,0.8338535769736147,0.0,0.6971999999960432,0.6971999999960432,6972.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0030,0.6999326886780332,33.0,0.7024794244297159,34.0,-1.0,True,33.0,34.0,False,False,True,33,0.0,0.997504516949452,0.997504516949452,0.0,0.280000000003336,0.280000000003336,2800.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0012,0.7104770564056284,21.0,0.6836996350401505,58.0,-37.0,True,21.0,58.0,False,False,True,21,0.0,1.0007592107930023,1.0007592107930023,0.0,0.3940000000010463,0.3940000000010463,3940.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0954,0.6862766989958594,49.0,0.6834287691890496,60.0,-11.0,True,49.0,60.0,False,False,True,49,0.0,1.0015622941551212,1.0015622941551212,0.0,0.3276000000008521,0.3276000000008521,3276.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0011,0.6947913640703177,41.0,0.681447975637749,64.0,-23.0,True,41.0,64.0,False,False,True,41,0.1394835191145876,0.9177129948094696,0.778229475694882,0.0503999999998698,0.3315999999991434,0.2811999999992736,2812.0,True,old_top50_hazard;low_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,False,False,fp_candidate_outside_top_transition
TP_0983,0.7047586357461876,24.0,0.6778545016134121,68.0,-44.0,True,24.0,68.0,False,False,True,24,0.0,0.9991456024324992,0.9991456024324992,0.0,0.3879999999989343,0.3879999999989343,3880.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0786,0.6885785711332593,46.0,0.6757749320274462,74.0,-28.0,True,46.0,74.0,False,False,True,46,0.0,0.9989781996899674,0.9989781996899674,0.0,0.3923999999979872,0.3923999999979872,3924.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0787,0.6987412945333553,36.0,0.6732200133208733,79.0,-43.0,True,36.0,79.0,False,False,True,36,0.0,0.992279420025451,0.992279420025451,0.0,0.2668000000014753,0.2668000000014753,2668.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0042,0.7084148614847006,23.0,0.672531275080463,82.0,-59.0,True,23.0,82.0,False,False,True,23,0.0,1.0391942903831528,1.0391942903831528,0.0,0.2847999999990053,0.2847999999990053,2848.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0028,0.6977906087940797,39.0,0.6723345337471582,83.0,-44.0,True,39.0,83.0,False,False,True,39,0.0,0.9987094271868956,0.9987094271868956,0.0,0.4307999999993652,0.4307999999993652,4308.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0848,0.7039758316020766,27.0,0.6549222531988271,98.0,-71.0,True,27.0,98.0,False,False,True,27,0.0,1.0043516254289253,1.0043516254289253,0.0,0.3267999999966949,0.3267999999966949,3268.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0727,0.697932168222808,37.0,0.6523378980685537,104.0,-67.0,True,37.0,104.0,False,False,True,37,0.0,1.0009803286906578,1.0009803286906578,0.0,0.3692000000046741,0.3692000000046741,3692.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0847,0.7018966039421165,30.0,0.6362735574518856,127.0,-97.0,True,30.0,127.0,False,False,True,30,0.0,1.0153678653601188,1.0153678653601188,0.0,0.340399999999839,0.340399999999839,3404.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0756,0.6988817809230385,35.0,0.6340136897899865,133.0,-98.0,True,35.0,133.0,False,False,True,35,0.0,0.998696880638738,0.998696880638738,0.0,0.4400000000030573,0.4400000000030573,4400.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0850,0.6888874165032199,45.0,0.62872935295281,141.0,-96.0,True,45.0,141.0,False,False,True,45,0.0,0.998900463277854,0.998900463277854,0.0,0.3287999999995634,0.3287999999995634,3288.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0819,0.6867759455104174,47.0,0.6252102456225794,150.0,-103.0,True,47.0,150.0,False,False,True,47,0.0,1.0267507323175136,1.0267507323175136,0.0,0.3171999999959034,0.3171999999959034,3172.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0902,0.701876905005116,31.0,0.6238474464791105,153.0,-122.0,True,31.0,153.0,False,False,True,31,0.0,0.9955077779761088,0.9955077779761088,0.0,0.4420000000027818,0.4420000000027818,4420.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0879,0.693324270137611,43.0,0.6085278896032958,171.0,-128.0,True,43.0,171.0,False,False,True,43,0.0,0.9988783777702508,0.9988783777702508,0.0,0.2688000000004742,0.2688000000004742,2688.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0760,0.7019943544850712,29.0,0.604341236615077,174.0,-145.0,True,29.0,174.0,False,False,True,29,0.0,0.9982819708142788,0.9982819708142788,0.0,0.3927999999987925,0.3927999999987925,3928.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0955,0.6929690333131605,44.0,0.587907630622908,203.0,-159.0,True,44.0,203.0,False,False,True,44,0.0,1.0005471434554598,1.0005471434554598,0.0,0.4387999999967754,0.4387999999967754,4388.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0878,0.6860451337393648,50.0,0.5730906028279474,223.0,-173.0,True,50.0,223.0,False,False,True,50,0.0,1.0062047881529568,1.0062047881529568,0.0,0.3967999999988379,0.3967999999988379,3968.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
