dataset,fold,n_M3,n_M4,M3_MAE,M4_MAE,delta
ablation_A_all,S124,212,212,0.7317656815586219,0.7115081031678255,-0.020257578390796338
ablation_A_all,S125,212,212,0.6953992994625433,0.750627875175936,0.05522857571339268
ablation_A_all,S126,212,212,0.7330911439925865,0.6993481436806337,-0.033743000311952764
ablation_A_all,S127,212,212,0.4826739038209812,0.4809292392044778,-0.0017446646165034108
ablation_A_all,S128,212,212,0.6515807176648638,0.631921956564313,-0.01965876110055076
ablation_A_all,S129,212,212,0.5588420519172919,0.5392170118266605,-0.019625040090631374
ablation_A_all,S130,212,212,0.5812572060979057,0.5576313361127839,-0.023625869985121728
ablation_A_all,S132,212,212,0.6265271492484719,0.6097937579116889,-0.016733391336782977
ablation_A_all,S135,212,212,0.9179889568244969,0.8971528182590426,-0.0208361385654543
ablation_A_all,S137,212,212,0.7126200677343671,0.7252299647034867,0.012609896969119516
ablation_A_all,S139,212,212,0.963739662337648,0.9323421785462888,-0.031397483791359204
ablation_A_all,S140,212,212,0.7800674344820067,0.6936551332862487,-0.08641230119575793
ablation_A_all,S141,212,212,0.6834745498935673,0.6809200946592731,-0.002554455234294206
ablation_A_all,S142,212,212,0.7176765409086231,0.7136962297317583,-0.003980311176864815
ablation_A_all,S143,212,212,0.9500009341179694,0.9340635022252349,-0.015937431892734444
ablation_A_all,S144,212,212,0.5992015765488475,0.5921330992613333,-0.007068477287514252
ablation_A_all,S145,212,212,0.5349749989863762,0.5250207590015685,-0.009954239984807711
ablation_A_all,S146,212,212,0.5804773235010056,0.5730705455670547,-0.007406777933950837
ablation_A_all,S147,212,212,0.7105672649105255,0.7293992724775885,0.018832007567063047
ablation_A_all,S148,212,212,0.621796131692473,0.6263655957502514,0.004569464057778361
ablation_A_all,S149,212,212,0.5994159818340622,0.610169809208668,0.01075382737460584
ablation_A_all,S150,212,212,0.547433423913258,0.5390583842322225,-0.008375039681035479
ablation_A_all,S151,212,212,0.6254420470504387,0.5760093334926681,-0.04943271355777057
ablation_A_all,S153,212,212,0.5175086004769576,0.4885343278708698,-0.02897427260608776
ablation_A_all,S180,212,212,0.6640449406380796,0.6214777567052386,-0.04256718393284098
ablation_A_all,S184,212,212,0.6085012984513221,0.6111325129650399,0.002631214513717839
ablation_A_all,S187,212,212,0.6218557639265275,0.6483341236780673,0.02647835975153978
ablation_B_retrospective,S124,212,212,0.7317656815586219,0.7115081031678255,-0.020257578390796338
ablation_B_retrospective,S125,212,212,0.6953992994625433,0.750627875175936,0.05522857571339268
ablation_B_retrospective,S126,212,212,0.7330911439925865,0.6993481436806337,-0.033743000311952764
ablation_B_retrospective,S127,212,212,0.4826739038209812,0.4809292392044778,-0.0017446646165034108
ablation_B_retrospective,S128,212,212,0.6515807176648638,0.631921956564313,-0.01965876110055076
ablation_B_retrospective,S129,212,212,0.5588420519172919,0.5392170118266605,-0.019625040090631374
ablation_B_retrospective,S130,212,212,0.5812572060979057,0.5576313361127839,-0.023625869985121728
ablation_B_retrospective,S132,212,212,0.6265271492484719,0.6097937579116889,-0.016733391336782977
ablation_B_retrospective,S135,212,212,0.9179889568244969,0.8971528182590426,-0.0208361385654543
ablation_B_retrospective,S137,212,212,0.7126200677343671,0.7252299647034867,0.012609896969119516
ablation_B_retrospective,S139,212,212,0.963739662337648,0.9323421785462888,-0.031397483791359204
ablation_B_retrospective,S140,212,212,0.7800674344820067,0.6936551332862487,-0.08641230119575793
ablation_B_retrospective,S141,212,212,0.6834745498935673,0.6809200946592731,-0.002554455234294206
ablation_B_retrospective,S142,212,212,0.7176765409086231,0.7136962297317583,-0.003980311176864815
ablation_B_retrospective,S143,212,212,0.9500009341179694,0.9340635022252349,-0.015937431892734444
ablation_B_retrospective,S144,212,212,0.5992015765488475,0.5921330992613333,-0.007068477287514252
ablation_B_retrospective,S145,212,212,0.5349749989863762,0.5250207590015685,-0.009954239984807711
ablation_B_retrospective,S146,212,212,0.5804773235010056,0.5730705455670547,-0.007406777933950837
ablation_B_retrospective,S147,212,212,0.7105672649105255,0.7293992724775885,0.018832007567063047
ablation_B_retrospective,S148,212,212,0.621796131692473,0.6263655957502514,0.004569464057778361
ablation_B_retrospective,S149,212,212,0.5994159818340622,0.610169809208668,0.01075382737460584
ablation_B_retrospective,S150,212,212,0.547433423913258,0.5390583842322225,-0.008375039681035479
ablation_B_retrospective,S151,212,212,0.6254420470504387,0.5760093334926681,-0.04943271355777057
ablation_B_retrospective,S153,212,212,0.5175086004769576,0.4885343278708698,-0.02897427260608776
ablation_B_retrospective,S180,212,212,0.6640449406380796,0.6214777567052386,-0.04256718393284098
ablation_B_retrospective,S184,212,212,0.6085012984513221,0.6111325129650399,0.002631214513717839
ablation_B_retrospective,S187,212,212,0.6218557639265275,0.6483341236780673,0.02647835975153978
ablation_C_fresh_v11,S124,212,212,0.34324701075517866,0.3049838207973088,-0.03826318995786987
ablation_C_fresh_v11,S125,212,212,0.3927540733361502,0.4199461998367327,0.027192126500582503
ablation_C_fresh_v11,S126,212,212,0.33148018706367377,0.3454271811844828,0.01394699412080902
ablation_C_fresh_v11,S127,174,174,0.3054812962394188,0.2984103653156834,-0.007070930923735397
ablation_D_migrated,S124,212,212,0.7328904324589748,0.7090617598556104,-0.02382867260336441
ablation_D_migrated,S125,212,212,0.7913557679635264,0.8370130208270428,0.04565725286351641
ablation_D_migrated,S126,212,212,0.7253991486198372,0.6963657863701231,-0.02903336224971409
ablation_D_migrated,S127,212,212,0.6409417371844476,0.6062272811480045,-0.034714456036443075
ablation_D_migrated,S128,212,212,0.6038345016572622,0.5994208368776582,-0.004413664779603921
ablation_D_migrated,S129,212,212,0.5850510390304325,0.5432999521407603,-0.04175108688967222
ablation_D_migrated,S130,212,212,0.6285004134942196,0.6314097641549841,0.002909350660764476
ablation_D_migrated,S132,212,212,0.9425062217550825,0.8847156866200395,-0.05779053513504295
ablation_D_migrated,S135,212,212,0.7460903823439873,0.7633392555002787,0.017248873156291422
ablation_D_migrated,S137,212,212,0.9215704161936418,0.8448980973862552,-0.07667231880738656
ablation_D_migrated,S139,212,212,0.7429021957068224,0.701679218511241,-0.04122297719558132
ablation_D_migrated,S140,212,212,0.7659834727919148,0.7403553845368128,-0.02562808825510199
ablation_D_migrated,S141,212,212,0.8711722665166229,0.8694565026936294,-0.0017157638229935435
ablation_D_migrated,S142,212,212,0.7431245708979315,0.7276845074414092,-0.015440063456522268
ablation_D_migrated,S143,212,212,0.668932133871603,0.6460097863067478,-0.022922347564855228
ablation_D_migrated,S144,212,212,0.6085260196733788,0.6092175996858337,0.0006915800124548399
ablation_D_migrated,S145,212,212,0.7153766275787133,0.7231327316055721,0.007756104026858779
ablation_D_migrated,S146,212,212,0.634421837921272,0.6356488803613954,0.0012270424401233937
ablation_D_migrated,S147,212,212,0.6176041893308873,0.5941057252375964,-0.023498464093290927
ablation_D_migrated,S148,212,212,0.6365514494459605,0.5874999651966669,-0.04905148424929362
ablation_D_migrated,S149,212,212,0.6005790507180003,0.5795130250577664,-0.021066025660233967
ablation_D_migrated,S150,212,212,0.6378332661541903,0.5732208631499738,-0.06461240300421656
ablation_D_migrated,S151,212,212,0.6264955712272007,0.635783494086246,0.009287922859045339
ablation_D_migrated,S153,212,212,0.5523138359620957,0.5783429146052865,0.026029078643190817
ablation_D_migrated,S180,212,212,0.7023125061549144,0.6709793616165671,-0.031333144538347235
ablation_D_migrated,S184,72,72,0.5273481585478142,0.5167160554015889,-0.010632103146225313
all_stations,S124,212,212,0.7317656815586219,0.7115081031678255,-0.020257578390796338
all_stations,S125,212,212,0.6953992994625433,0.750627875175936,0.05522857571339268
all_stations,S126,212,212,0.7330911439925865,0.6993481436806337,-0.033743000311952764
all_stations,S127,212,212,0.4826739038209812,0.4809292392044778,-0.0017446646165034108
all_stations,S128,212,212,0.6515807176648638,0.631921956564313,-0.01965876110055076
all_stations,S129,212,212,0.5588420519172919,0.5392170118266605,-0.019625040090631374
all_stations,S130,212,212,0.5812572060979057,0.5576313361127839,-0.023625869985121728
all_stations,S132,212,212,0.6265271492484719,0.6097937579116889,-0.016733391336782977
all_stations,S135,212,212,0.9179889568244969,0.8971528182590426,-0.0208361385654543
all_stations,S137,212,212,0.7126200677343671,0.7252299647034867,0.012609896969119516
all_stations,S139,212,212,0.963739662337648,0.9323421785462888,-0.031397483791359204
all_stations,S140,212,212,0.7800674344820067,0.6936551332862487,-0.08641230119575793
all_stations,S141,212,212,0.6834745498935673,0.6809200946592731,-0.002554455234294206
all_stations,S142,212,212,0.7176765409086231,0.7136962297317583,-0.003980311176864815
all_stations,S143,212,212,0.9500009341179694,0.9340635022252349,-0.015937431892734444
all_stations,S144,212,212,0.5992015765488475,0.5921330992613333,-0.007068477287514252
all_stations,S145,212,212,0.5349749989863762,0.5250207590015685,-0.009954239984807711
all_stations,S146,212,212,0.5804773235010056,0.5730705455670547,-0.007406777933950837
all_stations,S147,212,212,0.7105672649105255,0.7293992724775885,0.018832007567063047
all_stations,S148,212,212,0.621796131692473,0.6263655957502514,0.004569464057778361
all_stations,S149,212,212,0.5994159818340622,0.610169809208668,0.01075382737460584
all_stations,S150,212,212,0.547433423913258,0.5390583842322225,-0.008375039681035479
all_stations,S151,212,212,0.6254420470504387,0.5760093334926681,-0.04943271355777057
all_stations,S153,212,212,0.5175086004769576,0.4885343278708698,-0.02897427260608776
all_stations,S180,212,212,0.6640449406380796,0.6214777567052386,-0.04256718393284098
all_stations,S184,212,212,0.6085012984513221,0.6111325129650399,0.002631214513717839
all_stations,S187,212,212,0.6218557639265275,0.6483341236780673,0.02647835975153978
hourly_max,S124,62,62,0.7298985243431156,0.7042860434460545,-0.02561248089706114
hourly_max,S125,62,62,0.5497542463978384,0.5812143469983418,0.031460100600503416
hourly_max,S126,62,62,0.6990151374837801,0.6797464486275778,-0.019268688856202254
hourly_max,S127,62,62,0.5267423821849369,0.5061790096818377,-0.020563372503099142
hourly_max,S128,62,62,0.646394497230816,0.6506398679275,0.004245370696683959
hourly_max,S129,62,62,0.6068073265476487,0.5804501255479293,-0.026357200999719388
hourly_max,S130,62,62,0.587047215114125,0.5840202143634473,-0.003027000750677744
hourly_max,S132,62,62,0.666836788325258,0.6773441129462141,0.01050732462095616
hourly_max,S135,62,62,0.9167676149589357,0.9359535688933128,0.019185953934377165
hourly_max,S137,62,62,0.8732169459060976,0.8956147908318561,0.02239784492575858
hourly_max,S139,62,62,0.843988715105092,0.7199111591795171,-0.1240775559255749
hourly_max,S140,62,62,0.7295439395650627,0.7121738207240037,-0.01737011884105899
hourly_max,S141,62,62,0.6885164490739437,0.7009738415935719,0.012457392519628185
hourly_max,S142,62,62,0.9312718136359832,0.920754059971423,-0.010517753664560203
hourly_max,S143,62,62,0.5291708831966478,0.5289329304000342,-0.00023795279661364965
hourly_max,S144,62,62,0.5551405002525006,0.5556038115800803,0.0004633113275797074
hourly_max,S145,62,62,0.5618791259673958,0.5538944187329888,-0.007984707234406918
hourly_max,S146,62,62,0.7076940541864569,0.7393808217016108,0.03168676751515387
hourly_max,S147,62,62,0.5343297253598955,0.5088449098471614,-0.025484815512734182
hourly_max,S148,62,62,0.5506762542151672,0.5426984485402605,-0.00797780567490669
hourly_max,S149,62,62,0.5587330997544134,0.5304134303058281,-0.028319669448585327
hourly_max,S150,62,62,0.5945426215600386,0.5685596213174724,-0.025983000242566168
hourly_max,S151,62,62,0.6533710409013153,0.611455991890181,-0.0419150490111343
hourly_max,S153,62,62,0.5303077864419908,0.5263287932651541,-0.003978993176836698
hourly_max,S180,62,62,0.595422823351692,0.6018944993353375,0.006471675983645397
hourly_max,S184,62,62,0.5773372852451336,0.565507533899949,-0.011829751345184603
hourly_max,S187,62,62,0.5616297747773206,0.5573990589563762,-0.004230715820944364
hourly_mean,S124,62,62,0.6592870119292055,0.6275073603144111,-0.031779651614794346
hourly_mean,S125,62,62,0.5572001158925692,0.6139285230291421,0.0567284071365729
hourly_mean,S126,62,62,0.6808719744518963,0.6530151608744513,-0.02785681357744496
hourly_mean,S127,62,62,0.47964489461465215,0.4663321390341463,-0.013312755580505875
hourly_mean,S128,62,62,0.5643954748361861,0.5589361257752177,-0.005459349060968455
hourly_mean,S129,62,62,0.5713504048570368,0.5230989266188302,-0.048251478238206635
hourly_mean,S130,62,62,0.5333074814537783,0.5483952025749714,0.015087721121193165
hourly_mean,S132,62,62,0.6527796833088401,0.6449234053499718,-0.00785627795886823
hourly_mean,S135,62,62,0.8066214855965157,0.8081717280296199,0.0015502424331041986
hourly_mean,S137,62,62,0.8297986455133568,0.8355719655552114,0.005773320041854602
hourly_mean,S139,62,62,0.785583819678148,0.6602003383919989,-0.12538348128614918
hourly_mean,S140,62,62,0.6766423006589778,0.6588290960311587,-0.0178132046278191
hourly_mean,S141,62,62,0.5944029463021403,0.6012226971715939,0.0068197508694536335
hourly_mean,S142,62,62,0.8775439256027756,0.8598819566333066,-0.017661968969469033
hourly_mean,S143,62,62,0.5478801866509742,0.5337340113757517,-0.014146175275222439
hourly_mean,S144,62,62,0.5143885988176334,0.506196000233106,-0.008192598584527477
hourly_mean,S145,62,62,0.5004619583351431,0.49902306213708253,-0.0014388961980605353
hourly_mean,S146,62,62,0.6514550070820962,0.7120620004103762,0.0606069933282799
hourly_mean,S147,62,62,0.515161052397571,0.48103335384896534,-0.0341276985486057
hourly_mean,S148,62,62,0.5009432434553707,0.49197982811521396,-0.00896341534015671
hourly_mean,S149,62,62,0.5182676357131435,0.49399068509375305,-0.024276950619390447
hourly_mean,S150,62,62,0.5097675721520927,0.48467671626275144,-0.025090855889341235
hourly_mean,S151,62,62,0.6600298960349069,0.6164689901056575,-0.04356090592924944
hourly_mean,S153,62,62,0.5117137930471296,0.5122828797419176,0.0005690866947879458
hourly_mean,S180,62,62,0.5829522150752833,0.6091663046868805,0.026214089611597213
hourly_mean,S184,62,62,0.5071895613606116,0.5051042498635998,-0.0020853114970117437
hourly_mean,S187,62,62,0.5445510283077237,0.5111344248163527,-0.03341660349137099
no_S142,S124,212,212,0.7126176548506522,0.6919975030143485,-0.020620151836303724
no_S142,S125,212,212,0.6968528045589448,0.7494042087241432,0.05255140416519832
no_S142,S126,212,212,0.7338672981820374,0.7013235419945458,-0.03254375618749161
no_S142,S127,212,212,0.49211128238844015,0.48882677774715916,-0.003284504641280994
no_S142,S128,212,212,0.6643678697855454,0.6479711848973765,-0.016396684888168922
no_S142,S129,212,212,0.562744211406968,0.5413703022325634,-0.021373909174404515
no_S142,S130,212,212,0.586917056511896,0.5648444166393857,-0.02207263987251029
no_S142,S132,212,212,0.6312161394541586,0.6131369076704682,-0.018079231783690308
no_S142,S135,212,212,0.9316109937404147,0.9077360351479858,-0.02387495859242883
no_S142,S137,212,212,0.7142543033670586,0.7211320390520746,0.006877735685015929
no_S142,S139,212,212,0.9780967180430589,0.9456819017680281,-0.03241481627503073
no_S142,S140,212,212,0.7460213133930579,0.6605962115098233,-0.0854251018832346
no_S142,S141,212,212,0.6777292338416231,0.673353759989209,-0.004375473852414102
no_S142,S142,212,212,0.7291509076477438,0.7244465717058576,-0.00470433594188624
no_S142,S143,212,212,0.6069430066399689,0.5933495072100321,-0.013593499429936817
no_S142,S144,212,212,0.5475081419315094,0.5477908347811477,0.00028269284963822194
no_S142,S145,212,212,0.5719618493618919,0.5680852463603445,-0.003876603001547352
no_S142,S146,212,212,0.6800811864530757,0.6949625397049037,0.014881353251828044
no_S142,S147,212,212,0.6346866503481441,0.644549438101707,0.009862787753562863
no_S142,S148,212,212,0.5845375524745078,0.593558208651279,0.009020656176771169
no_S142,S149,212,212,0.5484246277007635,0.5243555174143271,-0.024069110286436435
no_S142,S150,212,212,0.6257747552615742,0.5773067863001017,-0.04846796896147254
no_S142,S151,212,212,0.5738986971731126,0.5494176608102028,-0.02448103636290977
no_S142,S153,212,212,0.6093644197622896,0.5619112566126211,-0.04745316314966852
no_S142,S180,212,212,0.6399573876971573,0.6418360774335964,0.0018786897364391208
no_S142,S184,212,212,0.5573820006582054,0.5858628278522724,0.02848082719406697
no_S142,S187,212,212,0.5817059600594537,0.5849462194422552,0.0032402593828014803
